0 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  9       1  10       1  11       1  12       1  13       1  16       1  17       1  18       1  19       1  22       1  23       1  24       1  26       1  27       1  31       1  32       2  0       2  1       2  2       2  3       2  4       2  5       2  6       2  7       2  8       2  9       2  10       2  11       2  12       2  13       2  14       2  18       2  24       2  26       2  28       3  0       3  1       3  2       3  3       3  4       3  5       3  7       3  9       3  10       3  12       3  14       3  22       4  0       4  1       4  2       4  3       4  4       4  5       4  6       4  7       4  11       4  17       5  0       5  1       5  2       5  3       5  4       5  6       5  10       6  0       6  1       6  2       6  3       6  5       6  17       6  22       7  0       7  1       7  2       7  3       7  5       7  7       7  10       7  11       8  0       8  1       8  2       8  3       8  4       8  5       8  6       8  7       8  10       8  13       9  0       9  1      10  0      10  1      10  2      10  3      10  5      11  0      11  1      11  2      11  3      11  4      11  11      12  0      12  1      12  6      12  8      12  15      13  0      13  1      13  2      13  3      13  6      14  0      14  1      15  0      15  1      15  2      15  3      16  0      16  2      16  3      16  4      16  19      16  23      17  0      17  1      17  3      17  8       

1 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  9       1  10       1  11       1  12       1  13       1  14       1  15       1  16       1  17       1  18       1  19       1  20       1  21       1  22       1  23       1  24       1  25       1  26       1  27       1  28       1  29       1  30       1  31       1  32       1  33       1  35       2  0       2  1       2  2       2  3       2  4       2  5       2  6       2  7       2  8       2  9       2  10       2  11       2  12       2  13       2  14       2  15       2  16       2  17       2  20       2  21       2  22       2  23       2  24       2  25       2  27       2  29       2  34       3  0       3  1       3  2       3  3       3  4       3  5       3  6       3  7       3  8       3  9       3  10       3  11       3  12       3  13       3  14       3  16       3  17       3  20       3  23       3  25       3  33       4  0       4  1       4  2       4  3       4  4       4  5       4  6       4  7       4  9       4  10       4  11       4  14       4  16       4  23       4  24       5  0       5  1       5  2       5  3       5  4       5  5       5  6       5  8       5  10       5  11       5  13       5  15       5  18       5  20       5  26       5  28       5  33       6  0       6  1       6  2       6  3       6  4       6  5       6  7       6  8       6  9       6  10       6  11       6  12       6  13       6  21       6  23       6  24       7  0       7  1       7  2       7  3       7  4       7  5       7  6       7  7       7  20       8  0       8  1       8  2       8  3       8  4       8  5       8  6       8  7       8  8       8  9       8  18       8  22       8  25       9  0       9  1       9  2       9  3       9  4       9  5       9  6       9  15       9  21      10  0      10  1      10  2      10  3      10  5      10  6      10  7      10  8      10  10      10  16      10  18      11  0      11  1      11  2      11  3      11  4      11  5      11  6      11  7      11  31      12  0      12  1      12  2      12  7      12  11      13  0      13  1      13  12      13  26      14  0      14  1      14  2      14  3      14  4      14  8      14  25      15  0      15  1      15  2      15  3      15  11      15  27      16  0      16  1      16  2      16  5      16  12      16  33      17  0      17  2      17  3      17  4      17  7      17  10      17  13       
1 1,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       1  0       

2 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  9       1  10       1  11       1  12       1  13       1  14       1  15       1  16       1  17       1  18       1  19       1  20       1  21       1  22       1  23       1  24       1  25       1  26       1  27       1  28       1  29       1  30       1  31       1  32       1  33       1  34       1  35       2  0       2  1       2  2       2  3       2  4       2  5       2  6       2  7       2  8       2  9       2  10       2  11       2  13       2  14       2  15       2  16       2  17       2  18       2  19       2  20       2  22       2  23       2  24       2  25       2  26       2  27       2  28       2  29       2  31       2  33       2  35       3  0       3  1       3  2       3  3       3  4       3  5       3  6       3  7       3  8       3  9       3  10       3  11       3  12       3  13       3  14       3  15       3  16       3  19       3  21       3  22       3  23       3  24       3  25       3  26       3  28       3  31       3  33       4  0       4  1       4  2       4  3       4  4       4  5       4  6       4  7       4  8       4  9       4  11       4  12       4  13       4  15       4  16       4  17       4  20       4  21       4  22       4  23       4  24       4  26       4  32       4  33       4  34       4  35       5  0       5  1       5  2       5  3       5  4       5  6       5  7       5  8       5  9       5  10       5  14       5  15       5  16       5  17       5  18       5  20       5  21       5  31       5  33       6  0       6  1       6  2       6  3       6  4       6  5       6  6       6  7       6  8       6  9       6  11       6  13       6  17       6  18       6  19       6  26       6  30       6  31       7  0       7  1       7  2       7  3       7  4       7  5       7  6       7  7       7  8       7  9       7  10       7  11       7  12       7  13       7  15       7  17       7  18       7  21       7  22       7  31       8  0       8  1       8  2       8  3       8  4       8  6       8  7       8  8       8  9       8  11       8  13       8  16       8  21       8  23       8  24       8  28       9  0       9  1       9  2       9  3       9  4       9  5       9  6       9  7       9  8       9  10       9  16      10  0      10  1      10  2      10  3      10  4      10  7      10  11      10  12      10  20      10  21      10  25      11  0      11  1      11  2      11  3      11  4      11  5      11  6      11  14      12  0      12  1      12  2      12  3      12  4      12  5      12  6      12  7      12  14      12  20      12  32      13  0      13  1      13  2      13  3      13  4      13  5      13  6      13  8      13  12      13  25      14  0      14  1      14  2      14  3      14  4      14  5      14  6      14  7      14  12      14  14      14  17      14  23      14  27      14  29      15  0      15  1      15  2      15  4      15  5      15  6      15  7      15  10      15  16      15  17      15  30      16  0      16  1      16  2      16  3      16  4      16  8      16  13      16  30      17  0      17  1      17  2      17  4      17  5      17  31       
2 1,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  4       2  0       3  0       4  0       
2 2,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       1  0       
2 3,  0  0       

3 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       
