#
# Décodage sans SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-12.00 1.0000000000000000 1.00e+00 324.56      1
-11.50 1.0000000000000000 1.00e+00 322.83      1
-11.00 1.0000000000000000 1.00e+00 203.01      1
-10.50 0.9999200000000000 1.00e+00 205.64      1
-10.00 0.9981400000000000 9.98e-01 210.51      1
 -9.50 0.9761700000000000 9.76e-01 200.92      1
 -9.00 0.8601900000000000 8.60e-01 206.78      1
 -8.50 0.5792600000000000 5.79e-01 203.85      1
 -8.00 0.2559200000000000 2.56e-01 217.66      1
 -7.50 0.0731000000000000 7.31e-02 210.74      1
 -7.00 0.0150300000000000 1.50e-02 203.79      2
 -6.50 0.0023800000000000 2.38e-03 189.90      2
 -6.00 0.0002512500000000 2.51e-04 206.03     15
 -5.50 0.0000352631578947 3.53e-05 208.00    110
 -5.00 0.0000055555555556 5.56e-06 218.65    698
 -4.50 0.0000015500000000 1.55e-06 208.88   1913
#
# Décodage avec SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-12.00 1.0000000000000000 1.00e+00 220.13      1
-11.50 1.0000000000000000 1.00e+00 232.17      1
-11.00 1.0000000000000000 1.00e+00 239.50      1
-10.50 0.9999400000000001 1.00e+00 247.35      1
-10.00 0.9983300000000001 9.98e-01 249.95      1
 -9.50 0.9805000000000000 9.81e-01 247.95      1
 -9.00 0.8802500000000000 8.80e-01 258.94      1
 -8.50 0.6185138148618514 6.19e-01 250.19      1
 -8.00 0.2922500000000000 2.92e-01 273.72      1
 -7.50 0.0921900000000000 9.22e-02 285.30      1
 -7.00 0.0217900000000000 2.18e-02 295.42      1
 -6.50 0.0040100000000000 4.01e-03 284.27      1
 -6.00 0.0005450000000000 5.45e-04 278.80      7
 -5.50 0.0000833333333333 8.33e-05 286.79     44
 -5.00 0.0000056302521008 5.63e-06 229.12    673
 -4.50 0.0000015400000000 1.54e-06 228.87   1883
