#
# Décodage sans SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-15.00 0.9977100000000000 9.98e-01 203.27      1
-14.50 0.9878500000000000 9.88e-01 220.28      1
-14.00 0.9534700000000000 9.53e-01 219.66      1
-13.50 0.8461200000000000 8.46e-01 214.54      1
-13.00 0.6606000000000000 6.61e-01 230.74      1
-12.50 0.4331200000000000 4.33e-01 223.02      1
-12.00 0.2091500000000000 2.09e-01 223.39      1
-11.50 0.0749892501074989 7.50e-02 223.79      1
-11.00 0.0189200000000000 1.89e-02 223.04      1
-10.50 0.0040400000000000 4.04e-03 219.85      1
-10.00 0.0005150000000000 5.15e-04 215.32      7
 -9.50 0.0000627272727273 6.27e-05 221.92     62
 -9.00 0.0000062111801242 6.21e-06 216.07    608
#
# Décodage avec SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-15.00 0.9978399999999999 9.98e-01 214.47      1
-14.50 0.9883999999999999 9.88e-01 221.58      1
-14.00 0.9548600000000000 9.55e-01 207.40      1
-13.50 0.8712500000000000 8.71e-01 223.14      1
-13.00 0.7074100000000000 7.07e-01 232.12      1
-12.50 0.4363700000000000 4.36e-01 227.77      1
-12.00 0.2112200000000000 2.11e-01 207.60      1
-11.50 0.0755800000000000 7.56e-02 197.39      1
-11.00 0.0193400000000000 1.93e-02 218.02      1
-10.50 0.0039500000000000 3.95e-03 223.93      1
-10.00 0.0008066666666667 8.07e-04 232.51      5
 -9.50 0.0000873913043478 8.74e-05 236.60     43
 -9.00 0.0000076045627376 7.60e-06 230.88    493
#
# SPC source refactoring test
#
-15.00 0.9976400000000000 9.98e-01 220.58      1
-14.50 0.9879400000000000 9.88e-01 209.22      1
-14.00 0.9535000000000000 9.54e-01 214.97      1
-13.50 0.8454199999999999 8.45e-01 214.97      1
-13.00 0.6615200000000000 6.62e-01 226.28      1
-12.50 0.4340300000000000 4.34e-01 221.89      1
-12.00 0.2093200000000000 2.09e-01 211.94      1
-11.50 0.0736400000000000 7.36e-02 201.82      1
-11.00 0.0190200000000000 1.90e-02 208.13      1
-10.50 0.0039400000000000 3.94e-03 202.85      1
-10.00 0.0005150000000000 5.15e-04 212.74      7
 -9.50 0.0000686666666667 6.87e-05 218.80     57
