#
# Décodage sans SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-12.00 0.9745000000000000 9.75e-01 218.26      1
-11.50 0.8875200000000000 8.88e-01 229.22      1
-11.00 0.6826200000000000 6.83e-01 225.37      1
-10.50 0.4058400000000000 4.06e-01 234.97      1
-10.00 0.1686300000000000 1.69e-01 199.69      1
 -9.50 0.0463000000000000 4.63e-02 200.29      1
 -9.00 0.0089200000000000 8.92e-03 182.82      1
 -8.50 0.0009033333333333 9.03e-04 191.07      5
 -8.00 0.0000651612903226 6.52e-05 195.82     59
 -7.50 0.0000051670951157 5.17e-06 182.67    744
 -7.00 0.0000016400000000 1.64e-06 198.73   1918
#
# Décodage avec SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-12.00 0.9793800000000000 9.79e-01 235.62      1
-11.50 0.9028300000000000 9.03e-01 243.99      1
-11.00 0.7138099999999999 7.14e-01 245.21      1
-10.50 0.4397100000000000 4.40e-01 239.10      1
-10.00 0.1912400000000000 1.91e-01 254.96      1
 -9.50 0.0553500000000000 5.54e-02 240.02      1
 -9.00 0.0111200000000000 1.11e-02 257.76      1
 -8.50 0.0011800000000000 1.18e-03 237.72      3
 -8.00 0.0001035000000000 1.03e-04 239.80     37
 -7.50 0.0000083682008368 8.37e-06 228.69    447
 -7.00 0.0000018800000000 1.88e-06 238.66   1891
