0 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  9       1  10       1  11       1  12       1  13       1  14       1  15       1  16       1  17       1  18       1  19       1  20       1  21       1  23       1  24       1  25       1  26       1  27       1  28       1  29       1  30       1  31       1  33       1  35       2  0       2  1       2  2       2  3       2  4       2  5       2  6       2  7       2  8       2  9       2  10       2  11       2  12       2  13       2  14       2  15       2  16       2  17       2  18       2  20       2  22       2  23       2  28       2  30       2  31       3  0       3  1       3  2       3  3       3  4       3  5       3  6       3  7       3  8       3  9       3  10       3  11       3  12       3  13       3  14       3  17       3  20       3  25       3  32       3  34       4  0       4  1       4  2       4  3       4  4       4  5       4  6       4  7       4  8       4  11       4  13       4  15       4  26       5  0       5  1       5  2       5  3       5  4       5  5       5  6       5  7       5  8       5  10       5  12       5  13       5  15       5  17       6  0       6  1       6  2       6  3       6  4       6  5       6  6       6  8       6  9       6  11       6  13       6  15       6  17       6  20       7  0       7  1       7  2       7  3       7  4       7  5       7  6       7  7       7  10       7  13       8  0       8  1       8  2       8  3       8  4       8  5       8  8       8  9       8  20       8  23       9  0       9  1       9  2       9  3       9  4       9  6       9  7       9  8       9  9       9  14       9  16      10  0      10  1      10  2      11  0      11  1      11  2      11  3      11  4      11  11      12  0      12  1      12  2      12  3      12  6      12  9      13  0      13  1      13  2      13  3      13  5      14  0      14  1      14  2      14  5      15  0      15  1      15  2      15  3      15  8      16  0      16  2      16  3      16  4      16  10      17  0      17  1      17  2      17  19       

1 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  9       1  10       1  11       1  12       1  13       1  14       1  15       1  16       1  17       1  18       1  19       1  20       1  21       1  22       1  23       1  24       1  25       1  26       1  27       1  28       1  29       1  30       1  31       1  33       1  34       1  35       2  0       2  1       2  2       2  3       2  4       2  5       2  6       2  7       2  8       2  9       2  10       2  11       2  12       2  13       2  14       2  15       2  17       2  18       2  19       2  20       2  21       2  22       2  24       2  25       2  27       2  28       2  29       2  30       2  33       2  34       2  35       3  0       3  1       3  2       3  3       3  4       3  5       3  6       3  7       3  8       3  9       3  10       3  11       3  12       3  13       3  14       3  15       3  16       3  17       3  19       3  20       3  21       3  22       3  24       3  25       3  27       3  30       3  32       3  33       3  34       3  35       4  0       4  1       4  2       4  3       4  4       4  5       4  6       4  7       4  8       4  9       4  10       4  11       4  13       4  14       4  15       4  16       4  17       4  19       4  20       4  21       4  23       4  25       4  27       4  28       5  0       5  1       5  2       5  3       5  4       5  5       5  6       5  7       5  8       5  9       5  10       5  11       5  12       5  13       5  15       5  16       5  17       5  19       5  20       5  22       5  30       5  33       6  0       6  1       6  2       6  3       6  4       6  5       6  6       6  7       6  8       6  10       6  11       6  13       6  14       6  16       6  18       6  19       6  20       6  22       6  23       6  24       6  25       6  26       6  29       6  31       6  32       7  0       7  1       7  2       7  3       7  4       7  5       7  6       7  7       7  8       7  14       7  16       7  20       7  23       7  24       7  27       8  0       8  1       8  2       8  3       8  4       8  5       8  6       8  7       8  8       8  9       8  11       8  12       8  14       8  20       8  21       8  28       8  29       8  34       8  35       9  0       9  1       9  2       9  3       9  4       9  5       9  7       9  8       9  9       9  11       9  13       9  15       9  23      10  0      10  1      10  2      10  3      10  4      10  5      10  6      10  7      10  8      10  9      10  10      10  12      10  27      11  0      11  1      11  2      11  3      11  4      11  5      11  6      11  7      11  8      11  14      11  15      11  16      11  22      11  28      11  32      12  0      12  1      12  2      12  3      12  4      12  5      12  6      12  8      12  9      12  10      12  13      12  16      13  0      13  1      13  2      13  3      13  4      13  5      13  6      13  9      13  12      13  19      13  27      14  0      14  1      14  2      14  3      14  4      14  6      14  9      14  12      14  20      15  0      15  1      15  2      15  3      15  5      15  8      15  10      15  16      16  0      16  1      16  2      16  3      16  4      16  5      16  6      16  8      16  10      16  14      17  0      17  1      17  2      17  3      17  4      17  5      17  14      17  15      17  18       
1 1,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       1  0       1  1       2  0       3  0       4  0       4  1       

2 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       
2 1,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  4       1  7       1  15       2  0       2  1       2  2       2  3       3  0       4  0       4  1       4  2       5  0       6  0       7  0       8  1       
2 2,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       1  0       1  1       1  2       2  0       3  0       4  0       5  0       
2 3,  0  0       

3 0,  
